cfg_id,lr,batch_size,patch_size,width,enc_blocks,ssim_weight,best_psnr
101,0.0002,8,96,32,"[1, 1, 1, 1]",0.2,26.035
102,0.0005,8,96,32,"[1, 1, 1, 1]",0.2,27.0155
103,0.001,8,96,32,"[1, 1, 1, 1]",0.2,26.5817
